interface,mac,cid,ipaddr,hostname,descr
lan,b8:27:eb:72:c6:6e,pitrois,192.168.66.3,pitrois,pitrois
lan,dc:a6:32:43:32:35,piquatre,192.168.66.4,piquatre,piquatre
lan,08:be:ac:3c:69:e3,picinq,192.168.66.5,picinq,picinq
lan,a0:47:d7:20:54:72,lepotato,192.168.66.6,lepotato,lepotato
lan,b8:27:eb:65:d7:dc,pized,192.168.66.7,pized,pized
lan,3c:33:00:00:82:f2,zimaboard,192.168.66.8,zimaboard,zimaboard
lan,94:83:c4:0a:86:59,gl-b2200-659,192.168.66.10,gl-b2200-659,gl-b2200-659
lan,34:e1:d1:80:63:fe,hubitat-c5-1,192.168.66.21,hubitat-c5-1,hubitat-c5-1
lan,34:e1:d1:80:5f:c2,hubitat-c5-2,192.168.66.22,hubitat-c5-2,hubitat-c5-2
lan,96:83:c4:0e:6e:f7,gl-mt300n-v2,192.168.66.25,gl-mt300n-v2,gl-mt300n-v2
opt2,70:3a:cb:46:f0:87,google-primary,192.168.22.2,google-primary,google-primary
opt2,94:83:c4:13:a0:6e,gl-b2200-06e,192.168.22.10,gl-b2200-06e,gl-b2200-06e
opt2,34:7e:5c:f2:17:32,sonos-symfonisk-1,192.168.22.30,sonos-symfonisk-1,sonos-symfonisk-1
opt2,34:7e:5c:f2:1b:e6,sonos-symfonisk-2,192.168.22.31,sonos-symfonisk-2,sonos-symfonisk-2
opt2,c4:38:75:e5:89:38,sonos-era-study,192.168.22.32,sonos-era-study,sonos-era-study
opt2,5c:aa:fd:cc:5f:70,sonos-one-study,192.168.22.33,sonos-one-study,sonos-one-study
opt2,5c:aa:fd:b2:89:b4,sonos-one-sl1,192.168.22.34,sonos-one-sl1,sonos-one-sl1
opt2,5c:aa:fd:b2:88:40,sonos-one-sl2,192.168.22.35,sonos-one-sl2,sonos-one-sl2
opt2,38:42:0b:d3:c6:2a,sonos-arc-livingroom,192.168.22.36,sonos-arc-livingroom,sonos-arc-livingroom
opt2,f0:f6:c1:0b:70:80,sonos-sub,192.168.22.37,sonos-sub,sonos-sub
opt2,54:2a:1b:91:1a:9c,sonos-beam,192.168.22.38,sonos-beam,sonos-beam
opt2,94:9f:3e:b5:00:8c,sonos-connect-yamaha,192.168.22.39,sonos-connect-yamaha,sonos-connect-yamaha
opt2,f0:f6:c1:ac:97:14,sonos-era-vinyl,192.168.22.40,sonos-era-vinyl,sonos-era-vinyl
opt2,d4:12:43:e9:e9:0a,soundform-bose-jl,192.168.22.41,soundform-bose-jl,soundform-bose-jl
opt2,d4:12:43:e9:de:30,soundform-bose-rachel,192.168.22.42,soundform-bose-rachel,soundform-bose-rachel
opt2,d4:12:43:e9:b9:40,soundform-yamaha,192.168.22.43,soundform-yamaha,soundform-yamaha
opt2,10:2c:6b:75:78:26,soundform-marshall,192.168.22.44,soundform-marshall,soundform-marshall
opt2,d0:c2:4e:2a:f8:ec,samsung-tv-frame,192.168.22.49,samsung-tv-frame,samsung-tv-frame
opt1,94:83:c4:0a:86:95,gl-b2200-695,192.168.18.10,gl-b2200-695,gl-b2200-695
opt1,a4:13:4e:bc:3f:c0,xap-810-bc3fc0,192.168.18.11,xap-810-bc3fc0,xap-810-bc3fc0
