interface,mac,cid,ipaddr,hostname,descr,arp_table_static_entry
lan,b8:27:eb:72:c6:6e,piTrois,192.168.66.3,pitrois,piTrois,x
lan,dc:a6:32:43:32:35,piQuatre,192.168.66.4,piquatre,piQuatre,x
lan,08:be:ac:3c:69:e3,piCinq,192.168.66.5,picinq,piCinq,x
lan,a0:47:d7:20:54:72,lePotato,192.168.66.6,lepotato,lePotato,x
lan,b8:27:eb:65:d7:dc,piZed,192.168.66.7,pized,piZed,x
lan,3c:33:00:00:82:f2,zimaBoard,192.168.66.8,zimaboard,zimaBoard,x
lan,94:83:c4:0a:86:59,gl-b2200-659,192.168.66.10,gl-b2200-659,gl-b2200-659,x
lan,34:e1:d1:80:63:fe,hubitat-c5-1,192.168.66.21,hubitat_c5_1,hubitat-c5-1,x
lan,34:e1:d1:80:5f:c2,hubitat-c5-2,192.168.66.22,hubitat_c5_2,hubitat-c5-2,x
lan,96:83:c4:0e:6e:f7,gl-mt300n-v2,192.168.66.25,gl-mt300n-v2,Mango US,x
opt2,70:3a:cb:46:f0:87,,192.168.22.2,google-primary,,
opt2,94:83:c4:13:a0:6e,gl-b2200-06e,192.168.22.10,gl-b2200-06e,gl-b2200-06e,x
opt2,34:7e:5c:f2:17:32,Sonos-Symfonisk-1,192.168.22.30,sonos_symfonisk_1,Sonos-Symfonisk-1,x
opt2,34:7e:5c:f2:1b:e6,Sonos-Symfonisk-2,192.168.22.31,sonos_symfonisk_2,Sonos-Symfonisk-2,
opt2,c4:38:75:e5:89:38,Sonos-Era-Study,192.168.22.32,sonos_era_study,Sonos-Era-Study,
opt2,5c:aa:fd:cc:5f:70,Sonos-One-Study,192.168.22.33,sonos_one_study,Sonos-One-Study,
opt2,5c:aa:fd:b2:89:b4,Sonos-One-SL1,192.168.22.34,sonos_one-sl1,Sonos-One-SL1,
opt2,5c:aa:fd:b2:88:40,Sonos-One-SL2,192.168.22.35,sonos_one_sl2,Sonos-One-SL2,
opt2,38:42:0b:d3:c6:2a,Sonos-Arc-LivingRoom,192.168.22.36,sonos_arc_livingroom,Sonos-Arc-LivingRoom,
opt2,f0:f6:c1:0b:70:80,Sonos-Sub,192.168.22.37,sonos_sub,Sonos-Sub,
opt2,54:2a:1b:91:1a:9c,Sonos-Beam,192.168.22.38,sonos_beam,Sonos-Beam,
opt2,94:9f:3e:b5:00:8c,Sonos-Connect-Yamaha,192.168.22.39,sonos_connect_yamaha,Sonos-Connect-Yamaha,
opt2,f0:f6:c1:ac:97:14,Sonos-Era-Vinyl,192.168.22.40,sonos_era_vinyl,Sonos-Era-Vinyl,
opt2,d4:12:43:e9:e9:0a,Soundform-Bose-JL,192.168.22.41,soundform_bose_jl,soundform-bose-jl,
opt2,d4:12:43:e9:de:30,Soundform-Bose-Rachel,192.168.22.42,soundform_bose_rachel,Soundform-Bose-Rachel,
opt2,d4:12:43:e9:b9:40,Soundform-Yamaha,192.168.22.43,soundform_yamaha,Soundform-Yamaha,
opt2,10:2c:6b:75:78:26,Soundform-Marshall,192.168.22.44,soundform_marshall,Soundform-Marshall,
opt2,d0:c2:4e:2a:f8:ec,,192.168.22.49,samsung-tv-frame,,
opt1,94:83:c4:0a:86:95,,192.168.18.10,gl-b2200-695,,
opt1,a4:13:4e:bc:3f:c0,,192.168.18.11,xap-810-bc3fc0,,x
